"","SOS-1","SOS-10","SOS-11","SOS-12","SOS-13","SOS-14","SOS-15","SOS-16","SOS-17","SOS-18","SOS-19","SOS-2","SOS-20","SOS-21","SOS-22","SOS-23","SOS-24","SOS-25","SOS-26","SOS-27","SOS-28","SOS-29","SOS-3","SOS-30","SOS-31","SOS-32","SOS-33","SOS-35","SOS-37","SOS-38","SOS-39","SOS-4","SOS-44","SOS-46","SOS-47","SOS-48","SOS-49","SOS-5","SOS-50","SOS-51","SOS-52","SOS-53","SOS-55","SOS-56","SOS-6","SOS-7","SOS-8","SOS-9"
"OTU57","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  7"," 25","135","  0","  0","  0","  0","  0","  0"," 18","  5"," 10"," 11","  0"," 43","  0","  0","  0"," 22","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0"
"OTU58","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","184"," 16","  0","  0","  0","  0","  0","  0"," 11","  0","  0"," 45"," 32","  0","  0"," 71"," 14","  0","  0","  0","  7","  0","  0","  0","  0"," 32","  0"
"OTU59","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","493","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU60"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","23"," 0"," 0","11"," 0"," 0"," 0"," 5"," 0"," 0","22"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU61","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 30","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","104","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU62","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","273","  0","  0","  0","  0","  0","205","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU63","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","165","  0"," 24","  0","  5","  0","  0","  0","  0","  0","820","  0","  0","  0","  0","  0","  0","  0","  0"," 27","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU64","   0","   0","   0","   0","  22"," 106","   0","   0"," 153","  73","  38","   0","   6"," 192","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1673","   0","   0","   0","   0","   6","   5","   0"," 210","   0","   0","  18","   0","   0","   0","   0","   0","   0","  10","   0","  20","   0"
"OTU65"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","15"," 0"," 0"," 5"," 0"," 0"," 0"," 0","16","14"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","18"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU66","   0","   0"," 230","1656","   0","   0","   0","   0","   0","  65","1376","   0"," 850","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  83","   0"
